0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:58:56 +0700] "GET /ShoppingWeb/resource/js/jquery-1.8.3.min.js HTTP/1.1" 200 93637
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:58:56 +0700] "GET /ShoppingWeb/resource/js/bootstrap.min.js HTTP/1.1" 200 27822
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:58:56 +0700] "GET /ShoppingWeb/resource/js/customer.js HTTP/1.1" 200 2092
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:58:56 +0700] "GET /ShoppingWeb/resource/js/photoZoom.min.js HTTP/1.1" 200 2445
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:58:56 +0700] "GET /ShoppingWeb/resource/images/banner/auction.png HTTP/1.1" 200 104899
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:58:56 +0700] "GET /ShoppingWeb/resource/images/logo/logon2.png HTTP/1.1" 200 226051
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:58:56 +0700] "GET /ShoppingWeb/resource/images/banner/shope-add2.jpg HTTP/1.1" 200 26104
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:58:56 +0700] "GET /ShoppingWeb/resource/images/logo/logon.png HTTP/1.1" 200 31622
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:58:56 +0700] "GET /ShoppingWeb/resource/images/banner/1%20(1).jpg HTTP/1.1" 200 24527
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:58:56 +0700] "GET /ShoppingWeb/resource/images/banner/one-helf1.jpg HTTP/1.1" 200 21287
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:58:56 +0700] "GET /ShoppingWeb/resource/images/banner/5.jpg HTTP/1.1" 200 24776
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:58:56 +0700] "GET /ShoppingWeb/resource/images/banner/6.jpg HTTP/1.1" 200 21217
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:58:56 +0700] "GET /ShoppingWeb/resource/images/banner/10.jpg HTTP/1.1" 200 16916
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:58:56 +0700] "GET /ShoppingWeb/resource/images/banner/12.jpg HTTP/1.1" 200 13164
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:58:56 +0700] "GET /ShoppingWeb/resource/images/banner/8.jpg HTTP/1.1" 200 17521
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:58:56 +0700] "GET /ShoppingWeb/resource/images/banner/shope-add1.jpg HTTP/1.1" 200 24343
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:58:56 +0700] "GET /ShoppingWeb/resource/images/banner/1.jpg HTTP/1.1" 200 24527
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:58:56 +0700] "GET /ShoppingWeb/resource/images/banner/2.jpg HTTP/1.1" 200 10702
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:58:56 +0700] "GET /ShoppingWeb/resource/images/banner/map.png HTTP/1.1" 200 43816
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:58:56 +0700] "GET /ShoppingWeb/resource/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23292
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:58:56 +0700] "GET /ShoppingWeb/resource/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 44432
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/home HTTP/1.1" 200 27549
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/css/responsive.css HTTP/1.1" 200 3901
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/css/owl.carousel.css HTTP/1.1" 200 4614
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/css/main.css HTTP/1.1" 200 19339
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/images/banner/auction.png HTTP/1.1" 200 104899
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/js/bootstrap.min.js HTTP/1.1" 200 27822
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/js/jquery-1.8.3.min.js HTTP/1.1" 200 93637
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/js/customer.js HTTP/1.1" 200 2092
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/js/photoZoom.min.js HTTP/1.1" 200 2445
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/images/logo/logon.png HTTP/1.1" 200 31622
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/images/banner/shope-add2.jpg HTTP/1.1" 200 26104
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/images/banner/shope-add1.jpg HTTP/1.1" 200 24343
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/images/banner/1%20(1).jpg HTTP/1.1" 200 24527
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/images/banner/10.jpg HTTP/1.1" 200 16916
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/images/banner/5.jpg HTTP/1.1" 200 24776
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/images/banner/one-helf1.jpg HTTP/1.1" 200 21287
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/images/banner/12.jpg HTTP/1.1" 200 13164
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/images/logo/logon2.png HTTP/1.1" 200 226051
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/images/banner/2.jpg HTTP/1.1" 200 10702
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/images/banner/1.jpg HTTP/1.1" 200 24527
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/images/banner/6.jpg HTTP/1.1" 200 21217
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/images/banner/map.png HTTP/1.1" 200 43816
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/images/banner/8.jpg HTTP/1.1" 200 17521
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23292
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:06 +0700] "GET /ShoppingWeb/resource/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 44432
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:36 +0700] "GET /ShoppingWeb/resource/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:36 +0700] "GET /ShoppingWeb/resource/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:36 +0700] "GET /ShoppingWeb/resource/css/owl.carousel.css HTTP/1.1" 200 4614
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:36 +0700] "GET /ShoppingWeb/resource/css/main.css HTTP/1.1" 200 19332
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:36 +0700] "GET /ShoppingWeb/resource/css/responsive.css HTTP/1.1" 200 3901
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:36 +0700] "GET /ShoppingWeb/resource/images/banner/auction.png HTTP/1.1" 200 104899
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:36 +0700] "GET /ShoppingWeb/resource/images/logo/logon.png HTTP/1.1" 200 31622
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:36 +0700] "GET /ShoppingWeb/home HTTP/1.1" 200 27532
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:36 +0700] "GET /ShoppingWeb/resource/images/banner/shope-add2.jpg HTTP/1.1" 200 26104
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:36 +0700] "GET /ShoppingWeb/resource/images/banner/shope-add1.jpg HTTP/1.1" 200 24343
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:36 +0700] "GET /ShoppingWeb/resource/images/banner/one-helf1.jpg HTTP/1.1" 200 21287
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:36 +0700] "GET /ShoppingWeb/resource/images/banner/10.jpg HTTP/1.1" 200 16916
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:36 +0700] "GET /ShoppingWeb/resource/images/banner/5.jpg HTTP/1.1" 200 24776
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:36 +0700] "GET /ShoppingWeb/resource/images/banner/1%20(1).jpg HTTP/1.1" 200 24527
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:36 +0700] "GET /ShoppingWeb/resource/images/banner/12.jpg HTTP/1.1" 200 13164
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:36 +0700] "GET /ShoppingWeb/resource/images/banner/6.jpg HTTP/1.1" 200 21217
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:36 +0700] "GET /ShoppingWeb/resource/images/banner/2.jpg HTTP/1.1" 200 10702
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:36 +0700] "GET /ShoppingWeb/resource/images/banner/8.jpg HTTP/1.1" 200 17521
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:36 +0700] "GET /ShoppingWeb/resource/images/banner/1.jpg HTTP/1.1" 200 24527
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:36 +0700] "GET /ShoppingWeb/resource/images/logo/logon2.png HTTP/1.1" 200 226051
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:36 +0700] "GET /ShoppingWeb/resource/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23292
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:36 +0700] "GET /ShoppingWeb/resource/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 44432
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:37 +0700] "GET /ShoppingWeb/resource/images/banner/map.png HTTP/1.1" 200 43816
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:37 +0700] "GET /ShoppingWeb/resource/js/photoZoom.min.js HTTP/1.1" 200 2445
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:37 +0700] "GET /ShoppingWeb/resource/js/jquery-1.8.3.min.js HTTP/1.1" 200 93637
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:37 +0700] "GET /ShoppingWeb/resource/js/customer.js HTTP/1.1" 200 2092
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:37 +0700] "GET /ShoppingWeb/resource/js/bootstrap.min.js HTTP/1.1" 200 27822
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:58 +0700] "GET /ShoppingWeb/home HTTP/1.1" 200 27532
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:58 +0700] "GET /ShoppingWeb/resource/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:58 +0700] "GET /ShoppingWeb/resource/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:58 +0700] "GET /ShoppingWeb/resource/css/responsive.css HTTP/1.1" 200 3901
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:58 +0700] "GET /ShoppingWeb/resource/css/main.css HTTP/1.1" 200 19332
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:58 +0700] "GET /ShoppingWeb/resource/css/owl.carousel.css HTTP/1.1" 200 4614
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:58 +0700] "GET /ShoppingWeb/resource/js/photoZoom.min.js HTTP/1.1" 200 2445
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:58 +0700] "GET /ShoppingWeb/resource/js/jquery-1.8.3.min.js HTTP/1.1" 200 93637
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:58 +0700] "GET /ShoppingWeb/resource/js/customer.js HTTP/1.1" 200 2092
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:58 +0700] "GET /ShoppingWeb/resource/images/logo/logon.png HTTP/1.1" 200 31622
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:58 +0700] "GET /ShoppingWeb/resource/js/bootstrap.min.js HTTP/1.1" 200 27822
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:59 +0700] "GET /ShoppingWeb/resource/images/logo/logon2.png HTTP/1.1" 200 226051
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:59 +0700] "GET /ShoppingWeb/resource/images/banner/one-helf1.jpg HTTP/1.1" 200 21287
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:59 +0700] "GET /ShoppingWeb/resource/images/banner/10.jpg HTTP/1.1" 200 16916
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:59 +0700] "GET /ShoppingWeb/resource/images/banner/auction.png HTTP/1.1" 200 104899
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:59 +0700] "GET /ShoppingWeb/resource/images/banner/shope-add2.jpg HTTP/1.1" 200 26104
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:59 +0700] "GET /ShoppingWeb/resource/images/banner/12.jpg HTTP/1.1" 200 13164
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:59 +0700] "GET /ShoppingWeb/resource/images/banner/5.jpg HTTP/1.1" 200 24776
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:59 +0700] "GET /ShoppingWeb/resource/images/banner/8.jpg HTTP/1.1" 200 17521
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:59 +0700] "GET /ShoppingWeb/resource/images/banner/6.jpg HTTP/1.1" 200 21217
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:59 +0700] "GET /ShoppingWeb/resource/images/banner/1%20(1).jpg HTTP/1.1" 200 24527
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:59 +0700] "GET /ShoppingWeb/resource/images/banner/shope-add1.jpg HTTP/1.1" 200 24343
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:59 +0700] "GET /ShoppingWeb/resource/images/banner/2.jpg HTTP/1.1" 200 10702
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:59 +0700] "GET /ShoppingWeb/resource/images/banner/map.png HTTP/1.1" 200 43816
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:59 +0700] "GET /ShoppingWeb/resource/images/banner/1.jpg HTTP/1.1" 200 24527
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:59 +0700] "GET /ShoppingWeb/resource/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23292
0:0:0:0:0:0:0:1 - - [27/Mar/2017:21:59:59 +0700] "GET /ShoppingWeb/resource/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 44432
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/home HTTP/1.1" 200 27532
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/css/owl.carousel.css HTTP/1.1" 200 4614
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/css/responsive.css HTTP/1.1" 200 3901
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/css/main.css HTTP/1.1" 200 19332
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/js/jquery-1.8.3.min.js HTTP/1.1" 200 93637
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/js/photoZoom.min.js HTTP/1.1" 200 2445
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/js/customer.js HTTP/1.1" 200 2092
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/js/bootstrap.min.js HTTP/1.1" 200 27822
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/images/banner/auction.png HTTP/1.1" 200 104899
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/images/logo/logon.png HTTP/1.1" 200 31622
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/images/banner/one-helf1.jpg HTTP/1.1" 200 21287
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/images/banner/shope-add1.jpg HTTP/1.1" 200 24343
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/images/logo/logon2.png HTTP/1.1" 200 226051
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/images/banner/1%20(1).jpg HTTP/1.1" 200 24527
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/images/banner/10.jpg HTTP/1.1" 200 16916
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/images/banner/shope-add2.jpg HTTP/1.1" 200 26104
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/images/banner/5.jpg HTTP/1.1" 200 24776
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/images/banner/2.jpg HTTP/1.1" 200 10702
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/images/banner/12.jpg HTTP/1.1" 200 13164
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/images/banner/8.jpg HTTP/1.1" 200 17521
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/images/banner/6.jpg HTTP/1.1" 200 21217
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/images/banner/map.png HTTP/1.1" 200 43816
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/images/banner/1.jpg HTTP/1.1" 200 24527
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23292
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:10 +0700] "GET /ShoppingWeb/resource/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 44432
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/home HTTP/1.1" 200 27532
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/css/owl.carousel.css HTTP/1.1" 200 4614
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/css/main.css HTTP/1.1" 200 19332
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/css/responsive.css HTTP/1.1" 200 3901
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/js/jquery-1.8.3.min.js HTTP/1.1" 200 93637
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/js/bootstrap.min.js HTTP/1.1" 200 27822
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/js/photoZoom.min.js HTTP/1.1" 200 2445
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/js/customer.js HTTP/1.1" 200 2092
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/images/banner/auction.png HTTP/1.1" 200 104899
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/images/banner/one-helf1.jpg HTTP/1.1" 200 21287
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/images/logo/logon2.png HTTP/1.1" 200 226051
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/images/banner/shope-add2.jpg HTTP/1.1" 200 26104
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/images/banner/10.jpg HTTP/1.1" 200 16916
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/images/banner/shope-add1.jpg HTTP/1.1" 200 24343
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/images/banner/12.jpg HTTP/1.1" 200 13164
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/images/banner/5.jpg HTTP/1.1" 200 24776
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/images/banner/1%20(1).jpg HTTP/1.1" 200 24527
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/images/banner/6.jpg HTTP/1.1" 200 21217
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/images/banner/2.jpg HTTP/1.1" 200 10702
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/images/logo/logon.png HTTP/1.1" 200 31622
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/images/banner/map.png HTTP/1.1" 200 43816
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/images/banner/8.jpg HTTP/1.1" 200 17521
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/images/banner/1.jpg HTTP/1.1" 200 24527
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23292
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:14 +0700] "GET /ShoppingWeb/resource/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 44432
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:20 +0700] "GET /ShoppingWeb/resource/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:20 +0700] "GET /ShoppingWeb/resource/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:20 +0700] "GET /ShoppingWeb/resource/css/owl.carousel.css HTTP/1.1" 200 4614
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:20 +0700] "GET /ShoppingWeb/resource/css/responsive.css HTTP/1.1" 200 3901
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:20 +0700] "GET /ShoppingWeb/resource/css/main.css HTTP/1.1" 200 19332
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:20 +0700] "GET /ShoppingWeb/resource/images/logo/logon.png HTTP/1.1" 200 31622
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:20 +0700] "GET /ShoppingWeb/resource/images/banner/auction.png HTTP/1.1" 200 104899
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:20 +0700] "GET /ShoppingWeb/resource/images/logo/logon2.png HTTP/1.1" 200 226051
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:20 +0700] "GET /ShoppingWeb/resource/images/banner/one-helf1.jpg HTTP/1.1" 200 21287
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:20 +0700] "GET /ShoppingWeb/resource/images/banner/shope-add2.jpg HTTP/1.1" 200 26104
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:20 +0700] "GET /ShoppingWeb/resource/images/banner/12.jpg HTTP/1.1" 200 13164
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:20 +0700] "GET /ShoppingWeb/resource/images/banner/1%20(1).jpg HTTP/1.1" 200 24527
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:20 +0700] "GET /ShoppingWeb/resource/images/banner/10.jpg HTTP/1.1" 200 16916
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:20 +0700] "GET /ShoppingWeb/resource/images/banner/5.jpg HTTP/1.1" 200 24776
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:20 +0700] "GET /ShoppingWeb/resource/images/banner/2.jpg HTTP/1.1" 200 10702
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:20 +0700] "GET /ShoppingWeb/resource/images/banner/shope-add1.jpg HTTP/1.1" 200 24343
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:20 +0700] "GET /ShoppingWeb/home HTTP/1.1" 200 27532
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:20 +0700] "GET /ShoppingWeb/resource/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 44432
0:0:0:0:0:0:0:1 - - [27/Mar/2017:22:00:20 +0700] "GET /ShoppingWeb/resource/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23292
